%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2261 241740   47.833959353    7.596170830   285.4662   6   5  21.2682  20.3368  27.6998 -14.4558  11.3792  -5.3500   0.00    0.0
2261 241741   47.833958937    7.596177822   285.4055   6   5  15.6564  14.9844  20.7624 -10.8983   8.8041  -4.4113   0.00    0.0
2261 241742   47.833954541    7.596170980   286.8914   6   5  12.9689  12.4178  17.3146  -9.1027   7.4249  -3.7972   0.00    0.0
2261 241743   47.833951060    7.596172617   286.6755   6   5  11.3153  10.8369  15.1600  -7.9754   6.5383  -3.3766   0.00    0.0
2261 241744   47.833950256    7.596172766   287.1245   6   5  10.1669   9.7383  13.6507  -7.1840   5.9077  -3.0679   0.00    0.0
2261 241745   47.833948858    7.596174779   287.1073   6   5   9.3098   8.9179  12.5180  -6.5894   5.4300  -2.8293   0.00    0.0
2261 241746   47.833947145    7.596175506   286.5457   6   5   8.6385   8.2752  11.6275  -6.1215   5.0520  -2.6381   0.00    0.0
2261 241747   47.833945351    7.596177645   286.3702   6   5   8.0944   7.7540  10.9036  -5.7409   4.7433  -2.4803   0.00    0.0
2261 241748   47.833947351    7.596175414   286.1056   6   5   7.6417   7.3204  10.3000  -5.4235   4.4850  -2.3473   0.00    0.0
2261 241749   47.833947101    7.596173614   285.9482   6   5   7.2575   6.9522   9.7869  -5.1535   4.2647  -2.2332   0.00    0.0
2261 241750   47.833948925    7.596173653   285.9757   6   5   6.9261   6.6345   9.3435  -4.9202   4.0739  -2.1339   0.00    0.0
2261 241751   47.833946716    7.596173309   286.0293   6   5   6.6363   6.3568   8.9555  -4.7159   3.9066  -2.0464   0.00    0.0
2261 241752   47.833945694    7.596171991   286.0708   6   5   6.3802   6.1112   8.6122  -4.5352   3.7584  -1.9686   0.00    0.0
2261 241753   47.833946437    7.596171415   286.0023   6   5   6.1517   5.8921   8.3056  -4.3738   3.6258  -1.8988   0.00    0.0
2261 241754   47.833945426    7.596172298   285.9863   6   5   5.9462   5.6949   8.0297  -4.2284   3.5064  -1.8357   0.00    0.0
2261 241755   47.833946406    7.596171929   285.9427   6   5   5.7600   5.5163   7.7795  -4.0967   3.3980  -1.7783   0.00    0.0
