%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2281 489444   16.262414707  -61.527707876    -9.4579   6   6  22.5334  27.5669  33.0156 -12.7995   8.0463  10.2202   0.00    0.0
2281 489445   16.262420022  -61.527714177    -9.0927   6   6  16.7697  21.1122  25.5552  -9.9781   6.8936   7.9223   0.00    0.0
2281 489446   16.262420573  -61.527715854    -9.0244   6   6  13.9441  17.7563  21.5901  -8.4466   6.0467   6.6940   0.00    0.0
2281 489447   16.262421034  -61.527716870    -9.2571   6   6  12.1856  15.6142  19.0339  -7.4543   5.4412   5.9040   0.00    0.0
2281 489448   16.262420694  -61.527716692    -9.2000   6   6  10.9549  14.0939  17.2098  -6.7453   4.9877   5.3424   0.00    0.0
2281 489449   16.262420437  -61.527717200    -9.1239   6   6  10.0304  12.9422  15.8233  -6.2063   4.6339   4.9175   0.00    0.0
2281 489450   16.262420021  -61.527718371    -9.1806   6   6   9.3021  12.0300  14.7228  -5.7789   4.3492   4.5820   0.00    0.0
2281 489451   16.262419889  -61.527719477    -9.2073   6   6   8.7083  11.2837  13.8212  -5.4291   4.1146   4.3086   0.00    0.0
2281 489452   16.262419864  -61.527719557    -9.2198   6   6   8.2115  10.6579  13.0646  -5.1361   3.9175   4.0805   0.00    0.0
2281 489453   16.262419780  -61.527719195    -9.3062   6   6   7.7872  10.1229  12.4176  -4.8859   3.7493   3.8867   0.00    0.0
2281 489454   16.262383534  -61.527662915    -6.6961   6   8   6.5107   7.6056  10.6975  -1.9473  -3.4457   4.5779   0.00    0.0
2281 489455   16.262372050  -61.527649332    -6.6620   6   8   5.9112   6.7448   9.8417   0.5440  -3.9928   4.3635   0.00    0.0
2281 489456   16.262358907  -61.527628288    -8.9804   6   9   5.4066   5.9167   8.8366   1.9271  -3.4015   3.7893   0.00    0.0
2281 489457   16.262352657  -61.527618895   -10.1327   6   9   5.0619   5.4261   8.1526   2.1843  -3.1027   3.4477   0.00    0.0
2281 489458   16.262348537  -61.527612842   -10.9374   6   9   4.7877   5.0606   7.6124   2.2705  -2.8659   3.1902   0.00    0.0
2281 489459   16.262345659  -61.527609182   -11.4763   6   9   4.5581   4.7698   7.1704   2.2872  -2.6709   2.9874   0.00    0.0
2281 489460   16.262343479  -61.527606742   -11.8713   6   9   4.3592   4.5284   6.7991   2.2704  -2.5060   2.8226   0.00    0.0
2281 489461   16.262341459  -61.527604569   -12.2099   6   9   4.1831   4.3222   6.4810   2.2359  -2.3639   2.6851   0.00    0.0
2281 489462   16.262339826  -61.527602752   -12.4928   6   9   4.0245   4.1423   6.2041   2.1916  -2.2396   2.5684   0.00    0.0
2281 489463   16.262338637  -61.527601133   -12.7716   6   9   3.8800   3.9829   5.9599   2.1420  -2.1295   2.4675   0.00    0.0
2281 489464   16.262337824  -61.527599378   -13.0486   6   9   3.7469   3.8398   5.7421   2.0895  -2.0309   2.3793   0.00    0.0
2281 489465   16.262336829  -61.527598102   -13.3071   6   9   3.6233   3.7102   5.5462   2.0356  -1.9421   2.3011   0.00    0.0
2281 489466   16.262336189  -61.527596833   -13.5351   6   9   3.5079   3.5917   5.3687   1.9813  -1.8613   2.2313   0.00    0.0
2281 489467   16.262335666  -61.527595726   -13.7409   6   9   3.3996   3.4826   5.2066   1.9271  -1.7874   2.1683   0.00    0.0
2281 489468   16.262335160  -61.527594781   -13.9013   6   9   3.2974   3.3817   5.0578   1.8735  -1.7194   2.1111   0.00    0.0
